Item Name,Qty,Price (total) (EUR),Item link
Nema 17HS19-2004S1 motor,2,32.28,"https://www.aliexpress.com/item/1005009385641951.html?spm=a2g0o.productlist.main.1.6546UMdZUMdZrk&algo_pvid=78f378d2-554e-4550-89c5-eeaab428a230&algo_exp_id=78f378d2-554e-4550-89c5-eeaab428a230-0&pdp_ext_f=%7B""order""%3A""109""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2116.54%2116.14%21%21%21124.17%21121.13%21%4021038db317898274002768967e13b3%2112000058704187326%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=8n0c5U6EG6ES&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009385641951%7C_p_origin_prod%3A"
Nema17 TR8x4 300mm Linear Stepper,3,76.86,"https://www.aliexpress.com/item/1005005850132970.html?spm=a2g0o.productlist.main.2.b07c7Hbv7Hbv1z&algo_pvid=2e770a81-1396-4515-865f-e3e27fc7f32c&algo_exp_id=2e770a81-1396-4515-865f-e3e27fc7f32c-1&pdp_ext_f=%7B""order""%3A""239""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2124.04%2122.99%21%21%2126.96%2125.79%21%400b88ad2b17898276221718124e1054%2112000034570255526%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=i1d2dD61GOGq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005850132970%7C_p_origin_prod%3A"
Voron M4 extruder,1,N/A,"Needs to be built externally, refer to Voron."
12V Silicone Heater strips,2,31.30,"https://www.aliexpress.com/item/4001259774332.html?spm=a2g0o.productlist.main.15.3de48TzV8TzVSd&algo_pvid=95958c14-ac70-4ac9-a3a4-cba773437a95&algo_exp_id=95958c14-ac70-4ac9-a3a4-cba773437a95-14&pdp_ext_f=%7B""order""%3A""447""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%214.16%214.16%21%21%2131.67%2131.67%21%400b884a9917892359735673870e0f57%2112000036724238077%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=WK2m9e62cEMZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001259774332%7C_p_origin_prod%3A#nav-specification"
500x500 Plexiglass sheet,2,17.32,https://www.hornbach.sk/p/plexisklo-gutta-hobbyglas-polystyrol-500x500x4-mm-hladke-cire/1477856/?wt_mc=sk.paid.sea.google.alwayson_assortment.pmax.wg02.21009379579..&wt_cc1=21009379579&wt_cc2=&wt_cc3=&wt_cc4=&wt_cc6=1477856&wt_cc7=&gad_source=1&gad_campaignid=21006340070&gclid=Cj0KCQjwk5nVBhDiARIsAHNGqafFcufqTzUxv8P6V4oKJNIiTu1aXz70oo4D28KUSgtjbURrpee-FW0aAiHwEALw_wcB
500x1000 Plexiglass sheet,4,38.92,https://www.hornbach.sk/p/plexisklo-gutta-hobbyglas-polystyrol-500x1000x2-mm-hladke-cire/1477812/
TR8x4 Leadscrew nut,3,2.70,"https://www.aliexpress.com/item/1005004605615919.html?spm=a2g0o.productlist.main.2.6536JXulJXulVL&algo_pvid=32435c0a-9148-46e1-a145-3f6ea09642a6&algo_exp_id=32435c0a-9148-46e1-a145-3f6ea09642a6-1&pdp_ext_f=%7B""order""%3A""159""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.90%210.90%21%21%211.01%211.01%21%4021613a6017898286850278882e0e5b%2112000029803690819%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=nKCCK8KAjvV4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004605615919%7C_p_origin_prod%3A"
50x50 Fan,1,2.08,"https://www.aliexpress.com/item/1005012609195249.html?spm=a2g0o.productlist.main.6.5b1253f7F0QxQV&algo_pvid=18a560af-5cc9-4234-a876-cedc2328d434&algo_exp_id=18a560af-5cc9-4234-a876-cedc2328d434-5&pdp_ext_f=%7B""order""%3A""66""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%211.97%211.96%21%21%2114.76%2114.74%21%400b884b5817898287827963997e0e3f%2112000058859306469%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=WsrEhdbdAyUW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012609195249%7C_p_origin_prod%3A"
50x50 Radial fans,1,11.99,"https://www.aliexpress.com/item/1005004193994226.html?spm=a2g0o.productlist.main.11.4f0bHPIeHPIedn&algo_pvid=dd9ee1fc-2af1-4552-b6b0-cb2f8a97fd9f&algo_exp_id=dd9ee1fc-2af1-4552-b6b0-cb2f8a97fd9f-10&pdp_ext_f=%7B""order""%3A""75""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%219.71%218.99%21%21%2110.89%2110.09%21%400b88ab6717898290676573411e0d13%2112000041143518611%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=DQVT2fX4yLNC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004193994226%7C_p_origin_prod%3A"
BTT Microprobe V2,1,25.42,"https://www.aliexpress.com/item/1005006314165426.html?spm=a2g0o.productlist.main.2.7fb615c2ea74Al&algo_pvid=f1dcf30e-1b7e-4848-9596-84aaa2a41f00&algo_exp_id=f1dcf30e-1b7e-4848-9596-84aaa2a41f00-1&pdp_ext_f=%7B""order""%3A""746""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2126.17%2125.42%21%21%21196.46%21190.85%21%4021038efe17898292508738248e0ffd%2112000036725506849%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=VzirFd6CcVS1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006314165426%7C_p_origin_prod%3A"
